[I 2021-06-16 09:08:36.466 ServerApp] jupyterlab | extension was successfully linked.
[I 2021-06-16 09:08:36.840 ServerApp] nbclassic | extension was successfully linked.
[I 2021-06-16 09:08:36.886 LabApp] JupyterLab extension loaded from /home/baker02/miniconda3/envs/perturbverse/lib/python3.9/site-packages/jupyterlab
[I 2021-06-16 09:08:36.886 LabApp] JupyterLab application directory is /home/baker02/miniconda3/envs/perturbverse/share/jupyter/lab
[I 2021-06-16 09:08:36.890 ServerApp] jupyterlab | extension was successfully loaded.
[I 2021-06-16 09:08:36.897 ServerApp] nbclassic | extension was successfully loaded.
[I 2021-06-16 09:08:36.902 ServerApp] Serving notebooks from local directory: /mnt/scratcha/fmlab/baker02/crigen
[I 2021-06-16 09:08:36.902 ServerApp] Jupyter Server 1.4.1 is running at:
[I 2021-06-16 09:08:36.902 ServerApp] http://clust1-node-4:8071/lab
[I 2021-06-16 09:08:36.902 ServerApp]  or http://127.0.0.1:8071/lab
[I 2021-06-16 09:08:36.902 ServerApp] Use Control-C to stop this server and shut down all kernels (twice to skip confirmation).
[I 2021-06-16 09:10:03.466 ServerApp] 302 GET / (10.20.236.34) 0.66ms
[I 2021-06-16 09:10:03.483 LabApp] 302 GET /lab? (10.20.236.34) 1.61ms
[I 2021-06-16 09:10:08.225 ServerApp] 302 POST /login?next=%2Flab%3F (10.20.236.34) 2.03ms
[W 2021-06-16 09:10:11.647 LabApp] Could not determine jupyterlab build status without nodejs
[I 2021-06-16 09:26:14.825 ServerApp] Kernel started: 27695393-5a99-4c65-852e-8275ddd7da46

   File /Users/baker02/.Renviron contains invalid line(s)
      p_TpE3coAkixZazRvxL8JA7fTyuhni0Z0Je12X1
   They were ignored

[W 2021-06-16 10:39:45.638 ServerApp] WebSocket ping timeout after 119999 ms.
[W 2021-06-16 10:39:45.656 ServerApp] WebSocket ping timeout after 119998 ms.
[I 2021-06-16 10:39:50.658 ServerApp] Starting buffering for 27695393-5a99-4c65-852e-8275ddd7da46:df608f07-8130-4f47-922d-e7819172f3e4
[I 2021-06-16 14:18:02.157 ServerApp] Saving file at /R/create_on_target.R
[I 2021-06-16 14:18:16.134 ServerApp] Saving file at /R/create_off_target.R
[I 2021-06-16 14:18:20.276 ServerApp] Saving file at /R/create_off_target.R
[I 2021-06-16 14:48:59.026 ServerApp] Saving file at /notebooks/crigen_design_experiment_test.ipynb
[I 2021-06-16 14:52:45.217 ServerApp] Saving file at /R/create_on_target.R
[I 2021-06-16 14:54:10.612 ServerApp] Saving file at /R/create_on_target.R
[I 2021-06-16 14:54:49.149 ServerApp] Saving file at /R/create_on_target.R
[I 2021-06-16 14:54:53.619 ServerApp] Saving file at /R/create_on_target.R
[I 2021-06-16 14:54:57.583 ServerApp] Saving file at /R/create_on_target.R
[I 2021-06-16 14:54:59.973 ServerApp] Saving file at /notebooks/crigen_design_experiment_test.ipynb
[I 2021-06-16 14:56:39.890 ServerApp] Saving file at /R/create_on_target.R
[I 2021-06-16 14:57:02.865 ServerApp] Saving file at /R/create_on_target.R
[I 2021-06-16 14:57:26.323 ServerApp] Saving file at /R/create_on_target.R
[I 2021-06-16 14:57:29.484 ServerApp] Saving file at /R/create_on_target.R
[I 2021-06-16 14:58:05.637 ServerApp] Saving file at /R/create_on_target.R
[I 2021-06-16 14:58:09.957 ServerApp] Saving file at /R/create_on_target.R
[I 2021-06-16 14:58:18.696 ServerApp] Saving file at /R/create_off_target.R
[I 2021-06-16 14:58:28.288 ServerApp] Saving file at /R/create_off_target.R
[I 2021-06-16 14:58:57.405 ServerApp] Saving file at /R/create_off_target.R
[I 2021-06-16 14:59:07.486 ServerApp] Saving file at /R/create_off_target.R
[I 2021-06-16 14:59:16.927 ServerApp] Saving file at /R/create_off_target.R
[I 2021-06-16 14:59:37.997 ServerApp] Saving file at /R/create_on_target.R
[I 2021-06-16 14:59:40.244 ServerApp] Saving file at /R/create_on_target.R
[I 2021-06-16 14:59:45.829 ServerApp] Saving file at /R/create_on_target.R
[I 2021-06-16 15:00:20.639 ServerApp] Saving file at /R/create_on_target.R
